opcode,system_number,latitude_dd,longitude_dd,date_time,site,location,status,zone,jurisdiction,depth_m,observer_count,observer_length,successful_count,successful_length,FishNClips,video_notes,left_camera,right_camera,rear_camera,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forwards,successful_habitat_backwards,observer_habitat_forwards,observer_habitat_backwards,maxn_complete_date,maxn_checker,length_complete_date,comment,ip
SWC-BV-030,3,-34.182635,114.810265,2024-10-27T07:01:12+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,63.8,Bri Beaulieu,,Yes,,Yes,,19,20,91,Yes,,,,,,03/02/2025,,,,0.000002954282623
SWC-BV-014,4,-34.18716833,114.7934633,2024-10-27T07:10:27+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,90.4,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,03/02/2025,,,,0.000002954282623
SWC-BV-166,5,-34.19190667,114.7902183,2024-10-27T07:14:45+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,96.1,Bri Beaulieu,,Yes,,Yes,,23,24,93,Yes,,,,,,04/02/2025,,,,0.000002954282623
SWC-BV-126,6,-34.19171463,114.7835175,2024-10-27T07:19:32+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,106,Bri Beaulieu,,Yes,,Yes,Had to tighten housing clamp at start of day,95,96,94,Yes,,,,,,04/02/2025,,,,0.000002954282623
SWC-BV-038,7,-34.19646833,114.7799833,2024-10-27T07:24:23+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,113,Bri Beaulieu,,Yes,,Yes,,27,28,97,Yes,,,,,,04/02/2025,,,,0.0000006540014967
SWC-BV-082,8,-34.19669667,114.7868367,2024-10-27T07:28:57+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,104,Bri Beaulieu,,Yes,,Yes,lights off for first 1.5 mins,29,30,98,Yes,,,,,,04/02/2025,,,,0.000002954282623
SWC-BV-170,9,-34.19694333,114.8065533,2024-10-27T07:38:19+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,70.6,Bri Beaulieu,,Yes,,Yes,Ceescope back online,31,32,99,Yes,,,,,,04/02/2025,,,,0.000002954282623
SWC-BV-062,10,-34.19715833,114.8132817,2024-10-27T07:41:49+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,68.7,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,05/02/2025,,,,0.0000006540014967
SWC-BV-054,1,-34.19735,114.82662,2024-10-27T09:01:52+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,59,Bri Beaulieu,,Yes,,Yes,,15,16,89,Yes,,,,,,05/02/2025,,,,0.000002954282623
SWC-BV-066,2,-34.206875,114.819665,2024-10-27T09:07:47+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,62.6,Bri Beaulieu,,Yes,,Yes,,17,18,90,Yes,,,,,,05/02/2025,,,,0.000002954282623
SWC-BV-094,3,-34.20173833,114.8031433,2024-10-27T09:14:40+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,81.6,Bri Beaulieu,,Yes,,Yes,Stingray bent/broke bait arm around 30 mins ,19,20,91,Yes,,,,,,05/02/2025,,,,0.000002954282623
SWC-BV-046,4,-34.20156833,114.796545,2024-10-27T09:18:49+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,91.1,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-150,5,-34.20614953,114.79323,2024-10-27T09:23:38+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,97.6,Bri Beaulieu,,Yes,,Yes,,23,24,93,Yes,,,,,,06/02/2025,,,,0.000002954282623
SWC-BV-111,6,-34.21125,114.80297,2024-10-27T09:28:48+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,86.5,Bri Beaulieu,,Yes,,Yes,,95,96,94,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-178,7,-34.22075167,114.7960917,2024-10-27T09:35:13+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,99.8,Bri Beaulieu,,Yes,,Yes,,27,28,97,Yes,,,,,,06/02/2025,,,,0.000002954282623
SWC-BV-003,8,-34.220725,114.8027517,2024-10-27T09:39:03+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,89,Bri Beaulieu,,Yes,,Yes,,29,30,98,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-158,9,-34.21168667,114.829665,2024-10-27T09:49:32+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,63.2,Bri Beaulieu,,Yes,,Yes,,31,32,99,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-026,10,-34.20704833,114.83298,2024-10-27T09:55:31+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,58,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,10/02/2025,,,,0.000002954282623
SWC-BV-102,1,-34.20214833,114.8363983,2024-10-27T11:14:49+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,52.8,Ryan Simms,,Yes,,Yes,,15,16,89,Yes,,,,,,19/02/2025,,,,0.000002954282623
SWC-BV-142,2,-34.19262667,114.83673,2024-10-27T11:19:17+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,51.6,Ryan Simms,,Yes,,Yes,,17,18,90,Yes,,,,,,20/02/2025,,,,0.0000006540014967
SWC-BV-010,3,-34.19782,114.8466467,2024-10-27T11:25:22+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,50,Ryan Simms,,Yes,,Yes,,19,20,91,Yes,,,,,,05/03/2025,,,,0.00000009355631566
SWC-BV-047,4,-34.22222167,114.88239,2024-10-27T11:41:19+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.6,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,28/02/2025,,,,0.0000006540014967
SWC-BV-071,5,-34.21803167,114.9192267,2024-10-27T11:54:17+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,44.5,Annika Leunig,,Yes,,Yes,,23,24,93,Yes,,,,,,28/02/2025,,,,0.0000006540014967
SWC-BV-179,6,-34.20864833,114.9259183,2024-10-27T11:59:49+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,25/02/25,,,,0.0000006540014967
SWC-BV-151,7,-34.2039457,114.9361142,2024-10-27T12:05:31+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,46.4,Annika Leunig,,Yes,,Yes,,27,28,97,Yes,,,,,,25/02/2025,,,,0.0000006540014967
SWC-BV-015,8,-34.19424167,114.9231417,2024-10-27T12:11:53+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,42.8,Annika Leunig,,Yes,,Yes,,29,30,98,Yes,,,,,,24/02/2025,,,,0.00000009355631566
SWC-BV-119,9,-34.17514833,114.9235933,2024-10-27T12:24:01+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45.6,Zach Howman,,,,Yes,,31,32,99,Yes,,,,,,,,,,0.00000009355631566
SWC-BV-167,10,-34.20302333,114.88307,2024-10-27T12:41:01+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,46.2,Zach Howman,,Yes,,Yes,,33,34,00,Yes,,,,,,20/02/2025,,,,0.00000009355631566
SWC-BV-138,1,-34.17347333,114.8239467,2024-10-27T14:45:01+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,54.6,Daniel Agnello,,Yes,,Yes,,15,16,89,Yes,,,,,,14/02/2025,,,,0.0000006540014967
SWC-BV-058,2,-34.17372667,114.8370683,2024-10-27T14:49:58+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,50.9,Daniel Agnello,,Yes,,Yes,,17,18,90,Yes,,,,,,19/02/2025,,,Need ID on scad,0.0000006540014967
SWC-BV-083,3,-34.16949667,114.8806267,2024-10-27T15:02:21+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,43.8,Daniel Agnello,,Yes,,Yes,,19,20,91,Yes,,,,,,24/02/2025,,,,0.000002954282623
SWC-BV-031,4,-34.16478833,114.8771767,2024-10-27T15:05:28+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,43.9,Daniel Agnello,,Yes,,Yes,,21,22,92,Yes,,,,,,24/02/2025,,,,0.00000009355631566
SWC-BV-147,5,-34.140665,114.8678967,2024-10-27T15:13:36+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44,Daniel Agnello,,Yes,,Yes,,23,24,93,Yes,,,,,,19/02/2025,,,lots of rays and sharks,0.00000009355631566
SWC-BV-171,1,-34.17077333,114.9537267,2024-10-28T07:09:11+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,42.3,Bri Beaulieu,,Yes,,Yes,,15,16,89,Yes,,,,,,24/02/2025,,,,0.000002954282623
SWC-BV-063,2,-34.17519,114.9366117,2024-10-28T07:15:44+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,46.5,Bri Beaulieu,,Yes,,Yes,,17,18,90,Yes,,,,,,25/02/2025,,,,0.0000006540014967
SWC-BV-095,3,-34.170385,114.9271483,2024-10-28T07:20:31+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,46,Bri Beaulieu,,Yes,,Yes,,19,20,91,Yes,,,,,,27/02/2025,,,,0.0000006540014967
SWC-BV-143,4,-34.15626667,114.9440767,2024-10-28T07:30:05+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.1,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,26/02/2025,,,,0.000002954282623
SWC-BV-103,5,-34.146695,114.9376383,2024-10-28T07:35:44+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.8,Bri Beaulieu,,Yes,,Yes,,23,24,93,Yes,,,,,,31/01/2025,,,,0.0000006540014967
SWC-BV-019,6,-34.13757833,114.964365,2024-10-28T07:49:34+08:00,,South-west Corner,Fished,General Use Zone,State,,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,06/03/2025,,,,0.0000002670364553
SWC-BV-051,7,-34.12318833,114.9680333,2024-10-28T07:56:53+08:00,,South-west Corner,Fished,General Use Zone,State,34.5,Annika Leunig,,,,Yes,,27,28,97,Yes,,,,,,,,,,0.000001099561875
SWC-BV-175,8,-34.12314,114.9743717,2024-10-28T08:01:13+08:00,,South-west Corner,Fished,General Use Zone,State,30.1,,,,,,,29,30,98,,,,,,,,,,,0.000001099561875
SWC-BV-123,9,-34.12791833,114.977985,2024-10-28T08:06:14+08:00,,South-west Corner,Fished,General Use Zone,State,29.9,Ryan Simms,,Yes,,Yes,Baitbag mostly obscured by kelp ,31,32,99,Yes,,,,,,07/03/2025,,,,0.0000008762133689
SWC-BV-075,10,-34.137775,114.9843133,2024-10-28T08:12:33+08:00,,South-west Corner,Fished,General Use Zone,State,27.6,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,28/02/2025,,,,0.000001099561875
SWC-BV-055,1,-34.14186333,114.9346983,2024-10-28T09:55:08+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.6,Bri Beaulieu,,Yes,,Yes,,15,16,89,Yes,,,,,,30/01/2025,,,,0.0000006540014967
SWC-BV-159,2,-34.13194333,114.9212717,2024-10-28T10:01:27+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,40.3,Bri Beaulieu,,Yes,,Yes,,17,18,90,Yes,,,,,,30/01/2025,,,,0.0000006540014967
SWC-BV-011,3,-34.1272,114.9247533,2024-10-28T10:05:51+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,36.3,Bri Beaulieu,,Yes,,Yes,,19,20,91,Yes,,,,,,29/01/2025,,,,0.000002954282623
SWC-BV-067,4,-34.12721167,114.918075,2024-10-28T10:09:08+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,41.1,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,29/01/2025,,,,0.000002954282623
SWC-BV-163,5,-34.12227,114.9083383,2024-10-28T10:13:37+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,41.8,Bri Beaulieu,,Yes,,Yes,,23,24,93,Yes,,,,,,29/01/2025,,,,0.000002954282623
SWC-BV-079,6,-34.1076289,114.8986104,2024-10-28T10:21:15+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43.7,Bri Beaulieu,,Yes,,Yes,,95,96,94,Yes,,,,,,28/01/2025,,,,0.00000009355631566
SWC-BV-027,7,-34.09824167,114.8987733,2024-10-28T10:25:14+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43.3,Bri Beaulieu,,Yes,,Yes,,27,28,97,Yes,,,,,,28/01/2025,,,,0.00000009355631566
SWC-BV-043,8,-34.11729,114.9182183,2024-10-28T10:37:10+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.9,Bri Beaulieu,,Yes,,Yes,,29,30,98,Yes,,,,,,24/01/2025,,,,0.0000006540014967
SWC-BV-127,9,-34.122695,114.9346283,2024-10-28T10:44:04+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,46.5,Bri Beaulieu,,Yes,,Yes,,31,32,99,Yes,,,,,,23/01/2025,,,,0.000002954282623
SWC-BV-135,10,-34.12754,114.937765,2024-10-28T10:49:02+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,45.1,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,22/01/2025,,,,0.0000006540014967
SWC-BV-039,1,-34.117865,114.9381517,2024-10-28T12:54:43+08:00,,South-west Corner,Fished,General Use Zone,State,44.1,Bri Beaulieu,,Yes,,Yes,,15,16,89,Yes,,,,,,26/02/2025,,,,0.0000008762133689
SWC-BV-155,2,-34.09405167,114.9354783,2024-10-28T13:02:50+08:00,,South-west Corner,No-take,Sanctuary Zone,State,44.5,Daniel Agnello,,Yes,,Yes,,17,18,90,Yes,,,,,,04/03/2025,,,Scombridae(?) needs ID,0.0000002670364553
SWC-BV-077,3,-34.089365,114.9457033,2024-10-28T13:09:07+08:00,,South-west Corner,No-take,Sanctuary Zone,State,41.2,Annika Leunig,,Yes,,Yes,,19,20,91,Yes,,,,,,28/02/2025,,,,0.0000002670364553
SWC-BV-023,4,-34.094315,114.95535,2024-10-28T13:14:33+08:00,,South-west Corner,No-take,Sanctuary Zone,State,36.5,Annika Leunig,,Yes,,Yes,,21,22,92,Yes,,,,,,04/03/2025,,,check macki and occidentalis,0.000001099561875
SWC-BV-131,5,-34.10433333,114.9817667,2024-10-28T13:26:37+08:00,,South-west Corner,No-take,Sanctuary Zone,State,24.3,Annika Leunig,,Yes,No,Yes,BRUV tips backwards  and faces up at about 15 minutes.,23,24,93,Yes,,,,,,04/03/2025,,,,0.0000008762133689
SWC-BV-115,6,-34.10884868,114.9782597,2024-10-28T13:31:55+08:00,,South-west Corner,No-take,Sanctuary Zone,State,23.2,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,06/03/2025,,,one Labridae can't ID,0.0000008762133689
SWC-BV-007,7,-34.11412,114.98135,2024-10-28T13:36:10+08:00,,South-west Corner,No-take,Sanctuary Zone,State,24.1,Annika Leunig,,No,No,Yes,BRUV lands slanted/facing downards and video obstructed by kelp most of the time. ,27,28,97,Yes,,,,,,,,,,0.000001099561875
SWC-BV-099,8,-34.10905333,114.9714667,2024-10-28T13:40:53+08:00,,South-west Corner,No-take,Sanctuary Zone,State,25,Annika Leunig,,Yes,,Yes,B.brevicaudata drags and changes POV at 46 mins,29,30,98,Yes,,,,,,06/03/2025,,,,0.000001099561875
SWC-BV-035,9,-34.104,114.9618467,2024-10-28T13:46:10+08:00,,South-west Corner,No-take,Sanctuary Zone,State,32.1,Daniel Agnello,,Yes,,Yes,"Showed sys 10, opcode 091",31,32,99,,,,,,,started 04/03/2025,,,,0.0000008762133689
SWC-BV-091,10,-34.10876667,114.9583567,2024-10-28T13:50:31+08:00,,South-west Corner,No-take,Sanctuary Zone,State,37,Daniel Agnello,,Yes,,Yes,"Showed right cam number to left cam, corrected shortly after",33,34,00,Yes,,,,,,04/03/2025,,,,0.0000008762133689
SWC-BV-IO357,1,-34.08501667,114.9279167,2024-10-29T06:46:58+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,45.9,Daniel Agnello,,Yes,No,Yes,Left camera settings were wrong this day - CAL will not work in event measure with these settings - MaxN on right,15,16,89,Yes,,,,,,04/03/2025,,,Right video was annotated because the video settings were consistant with all other drops,
SWC-BV-085,2,-34.07436833,114.9093933,2024-10-29T06:54:32+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.2,Bri Beaulieu,,Yes,,Yes,,17,18,90,Yes,,,,,,22/01/2025,,,,0.00000009355631566
SWC-BV-IO356,3,-34.06956315,114.9184933,2024-10-29T06:59:44+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,47,Bri Beaulieu,,Yes,,Yes,,19,20,91,Yes,,,,,,22/01/2025,,,,
SWC-BV-AP001,4,-34.06573,114.913645,2024-10-29T07:05:18+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,48.1,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,21/01/2025,,,,
SWC-BV-AP002,5,-34.06351833,114.9242483,2024-10-29T07:14:46+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,47.8,Bri Beaulieu,,Yes,,Yes,,23,24,93,Yes,,,,,,21/01/2025,,,,
SWC-BV-157,6,-34.06561333,114.956015,2024-10-29T07:26:56+08:00,,South-west Corner,No-take,Sanctuary Zone,State,33.2,Bri Beaulieu,,Yes,,Yes,,95,96,94,Yes,,,,,,21/01/2025,,,,0.000001099561875
SWC-BV-025,7,-34.07034333,114.9526167,2024-10-29T07:31:50+08:00,,South-west Corner,No-take,Sanctuary Zone,State,32.7,Bri Beaulieu,,Yes,,Yes,Board reads 157,27,28,97,Yes,,,,,,20/01/2025,,,,0.000001099561875
SWC-BV-065,8,-34.07509667,114.9492933,2024-10-29T07:36:25+08:00,,South-west Corner,No-take,Sanctuary Zone,State,37.2,Bri Beaulieu,,Yes,,Yes,,29,30,98,Yes,,,,,,20/01/2025,,,,0.0000002670364553
SWC-BV-021,9,-34.089845,114.9721183,2024-10-29T07:48:20+08:00,,South-west Corner,No-take,Sanctuary Zone,State,30.6,Bri Beaulieu,,Yes,,Yes,,31,32,99,Yes,,,,,,20/01/2025,,,,0.000001099561875
SWC-BV-087,10,-34.09925833,114.9651183,2024-10-29T07:55:01+08:00,,South-west Corner,No-take,Sanctuary Zone,State,30.9,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,17/01/2025,,,,0.000001099561875
SWC-BV-153,1,-34.08507833,114.968995,2024-10-29T09:17:45+08:00,,South-west Corner,No-take,Sanctuary Zone,State,34.6,Bri Beaulieu,,Yes,No,Yes,Left camera settings were wrong this day - CAL will not work in event measure with these settings - MaxN on right,15,16,89,Yes,,,,,,16/01/2025,,,,0.0000008762133689
SWC-BV-125,2,-34.080355,114.9790467,2024-10-29T09:21:59+08:00,,South-west Corner,No-take,Sanctuary Zone,State,29.7,Bri Beaulieu,,Yes,,Yes,,17,18,90,Yes,,,,,,16/01/2025,,,,0.0000002670364553
SWC-BV-113,3,-34.06101483,114.9727707,2024-10-29T09:30:22+08:00,,South-west Corner,No-take,Sanctuary Zone,State,24.6,Bri Beaulieu,,Yes,,Yes,,19,20,91,Yes,,,,,,16/01/2025,,,,0.000001099561875
SWC-BV-089,4,-34.05626833,114.9695317,2024-10-29T09:33:16+08:00,,South-west Corner,Fished,General Use Zone,State,29.1,Bri Beaulieu,,Yes,,Yes,,21,22,92,Yes,,,,,,15/01/2025,,,,0.0000002670364553
SWC-BV-133,5,-34.05181667,114.9794383,2024-10-29T09:38:42+08:00,,South-west Corner,Fished,General Use Zone,State,23.6,Bri Beaulieu,,No,No,Yes,BRUV landed sideways ,23,24,93,Yes,,,,,,,,,,0.000001099561875
SWC-BV-037,6,-34.041955,114.9731883,2024-10-29T09:43:14+08:00,,South-west Corner,Fished,General Use Zone,State,32.6,Bri Beaulieu,,Yes,,Yes,,95,96,94,Yes,,,,,,14/01/2025,,,,0.000001099561875
SWC-BV-053,7,-34.04168,114.9532967,2024-10-29T09:50:56+08:00,,South-west Corner,Fished,General Use Zone,State,41.4,Bri Beaulieu,,Yes,,Yes,,27,28,97,Yes,,,,,,14/01/2025,,,,0.0000008762133689
SWC-BV-141,8,-34.04625516,114.9499109,2024-10-29T09:55:29+08:00,,South-west Corner,Fished,General Use Zone,State,38.9,Bri Beaulieu,,Yes,,Yes,,29,30,98,Yes,,,,,,13/01/2025,,,,0.000001099561875
SWC-BV-009,9,-34.05132,114.9529883,2024-10-29T09:59:34+08:00,,South-west Corner,Fished,General Use Zone,State,38.3,Bri Beaulieu,,Yes,,Yes,,31,32,99,Yes,,,,,,13/01/2025,,,,0.0000002670364553
SWC-BV-101,10,-34.051065,114.9398683,2024-10-29T10:05:56+08:00,,South-west Corner,Fished,General Use Zone,State,44.5,Bri Beaulieu,,Yes,,Yes,,33,34,00,Yes,,,,,,13/01/2025,,,,0.0000002670364553
